source,kind,symbol,named_methods,disposition,reason,declared_responsibility
src/Cancellation/Internal/CancellationState.php,class,CancellationState,13,retain,Shared cancellation identity and bounded observer lifecycle,Stores mutable cancellation state shared by a source and its token.  @internal
src/CancellationSource.php,class,CancellationSource,17,retain,"Public entry point, validated policy or request/cancellation ownership",Creates and owns a cancellation token and its mutable cancellation state.
src/CancellationSubscription.php,class,CancellationSubscription,3,retain,"Public entry point, validated policy or request/cancellation ownership",Represents a removable observer registration on a cancellation state.
src/CancellationToken.php,class,CancellationToken,9,retain,"Public entry point, validated policy or request/cancellation ownership",Provides read-only access to cancellation state and deadline propagation.
src/Control/ControlOptions.php,class,ControlOptions,1,retain,Validated control policy and separate local control-plane boundary,Defines validated limits and socket settings for the runtime control server.
src/Control/ControlServer.php,class,ControlServer,15,retain,Validated control policy and separate local control-plane boundary,Exposes supervisor control operations over a bounded local Unix socket protocol.
src/Coroutine/Barrier.php,class,Barrier,7,retain,"Structured concurrency, synchronization, task identity or lifecycle",Coordinates a fixed number of coroutine parties at reusable synchronization generations.
src/Coroutine/Channel.php,class,Channel,14,retain,"Structured concurrency, synchronization, task identity or lifecycle",Provides bounded or rendezvous message passing between coroutines.
src/Coroutine/CoroutineDiagnosticsSnapshot.php,class,CoroutineDiagnosticsSnapshot,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",Captures a point-in-time snapshot of coroutine and event-loop diagnostics.
src/Coroutine/CoroutinePolicy.php,class,CoroutinePolicy,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",Defines validated resource and scheduling limits for coroutine execution.
src/Coroutine/CoroutineRuntime.php,class,CoroutineRuntime,8,retain,"Structured concurrency, synchronization, task identity or lifecycle",Runs structured coroutine scopes on a single scheduler and event loop.
src/Coroutine/CoroutineScope.php,class,CoroutineScope,37,retain,"Structured concurrency, synchronization, task identity or lifecycle","Owns structured child tasks, cancellation, synchronization, and task-local state."
src/Coroutine/Deferred.php,class,Deferred,4,retain,"Structured concurrency, synchronization, task identity or lifecycle",Completes a future exactly once with either a value or an error.
src/Coroutine/Enum/TaskGroupFailureMode.php,enum,TaskGroupFailureMode,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Defines how a coroutine task group propagates child failures.
src/Coroutine/Enum/TaskLocalInheritance.php,enum,TaskLocalInheritance,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Defines how task-local values are inherited by child tasks.
src/Coroutine/Enum/TaskState.php,enum,TaskState,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Represents the lifecycle state of a coroutine task.
